LCG,MARKET INTELLIGENCE / RANKINGS,,,,,,,,,,,
Las 500 Empresas más importantes de México,,,,,,,,,,,,
Fuente: Expansión · 500empresas.expansion.mx · Edición 2025,,,,,,,,,,,,
,,,,,,,,,,,,
Rank,Empresa,Sector,País,Ventas (MDP),Utilidad Neta (MDP),Utilidad de Operación (MDP),Activo Total (MDP),Pasivo Total (MDP),Empleados,ROE (%),Datos gobernanza (sin separar — verificar en sitio),Ranking Ganado
114,Caminos y Puentes Federales (Capufe),Servicios públicos,México,"47,277.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-2
115,Viva Aerobus,Aerolíneas,México,"47,016.50","4,160.90","8,890.10","70,331.80","64,201.40","5,165",67.9,ndndndndndndnd,23
116,Viakable,Equipo eléctrico,México,"46,989.80",n.d.,"3,976.60","32,599.70",n.d.,"4,332",n.d.,ndndndndndndnd,5
117,Aleatica,Infraestructura,Australia,"46,381.00","25,187.00","39,636.00","341,136.00","124,766.00","1,778",11.6,52407228.63,88
118,Prolec,Equipo eléctrico,México,"46,295.70",n.d.,n.d.,n.d.,n.d.,"9,536",n.d.,ndndndndndndnd,16
119,Sanmina-SCI de México,Electrónica,Estados Unidos,"45,760.30",n.d.,n.d.,n.d.,n.d.,"17,000",n.d.,ndndndndndndnd,-19
120,Seguros Banorte,Seguros y fianzas,México,"45,382.00","6,913.10",977.80,"97,765.80","71,170.00",n.d.,26.0,ndndndndndndnd,13
121,The Home Depot México,Comercio especializado,Estados Unidos,"45,000.00",n.d.,n.d.,n.d.,n.d.,"18,000",n.d.,1022011218.238,-6
122,Totalplay,Telecomunicaciones,México,"44,530.40","(7,500.30)","3,844.00","84,120.00","85,465.00","5,183",557.6,ndnd09111.13,34
123,Traton Group de México,Armadora,Estados Unidos,"44,500.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,16
124,Bancomext,Servicios financieros,México,"44,016.20","(3,982.80)","(3,793.60)","631,610.60","587,293.70",592,(9.0),511937nanana49.,14
125,Jose Cuervo,Bebidas alcohólicas y tabaco,México,"43,961.50","3,962.40","7,764.70","112,370.60","45,575.50","8,893",5.9,ndndnd1616.322.7,-7
126,La Comer,Comercio autoservicio,México,"43,277.00","2,358.00","3,002.00","40,973.00","10,272.00","17,540",7.7,24150211011049.,54
127,Seguros Monterrey New York Life,Seguros y fianzas,Estados Unidos,"42,980.10","3,950.00","(1,695.20)","153,170.30","136,983.00",n.d.,24.4,ndndndndndndnd60.,32
128,Newmont Minera Peñasquito,Minería,Estados Unidos,"42,557.00",n.d.,n.d.,n.d.,n.d.,"2,665",n.d.,734313538.511.71,12
129,CICSA,Construcción,México,"42,505.00","2,778.00","5,181.00",n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-15
130,INTERprotección,Seguros y fianzas,México,"41,954.00",418.00,"1,366.00",n.d.,n.d.,"1,201",n.d.,1364611327.352,14
131,Bio Pappel,Papel y cartón,México,"41,904.00","1,774.00","3,412.00","66,516.00","29,967.00","13,496",4.9,41257228.628.9,-11
132,American Axle Manufacturing de México,Automotriz y autopartes,Estados Unidos,"41,229.70",n.d.,n.d.,"13,560.50",n.d.,"5,200",n.d.,ndndndndndndnd,-5
133,Mazda Motor de México,Armadora,Japón,"40,630.00",775.00,"1,258.00","6,866.00","8,336.00",,14851.8,ndndndnanana36.5,20
134,Nafin,Servicios financieros,México,"40,544.40","(6,536.80)","(10,274.80)","772,091.50","728,963.50",977,(15.2),471634nanana48.,71
135,Gentera,Servicios financieros,México,"40,232.00","6,462.00","9,223.00","106,851.00","73,324.00","27,101",19.3,76243214321.451.3,13
136,Pilgrim's Pride México,Alimentos y bebidas,Estados Unidos,"38,705.90",n.d.,"5,260.90",n.d.,n.d.,"11,000",n.d.,ndndndndndndnd,-4
137,Industrias CH,Siderurgia y metalurgia,México,"38,384.20","11,807.30","6,359.80","82,431.10","11,660.40","5,533",16.7,ndnd17400nd,-30
138,Grupo Herdez,Alimentos y bebidas,México,"37,425.00","3,348.00","5,280.00","40,203.00","22,063.00","12,509",18.5,22299222.245,-1
139,CPKC de México,Logística y transporte,Estados Unidos,"37,327.90",n.d.,n.d.,n.d.,n.d.,"3,234",n.d.,ndndndndndndnd,13
140,Holcim México,Cemento,Suiza,"36,999.00","6,073.00","9,948.00","40,075.00","23,965.00","5,815",37.7,36822524018,-4
141,Grupo Bafar,Alimentos y bebidas,México,"36,994.00","4,946.00","5,011.00","42,289.00","22,394.00","13,210",24.9,80016212.55,4
142,Smurfit Kappa México,Papel y cartón,Irlanda,"36,906.80",n.d.,n.d.,"30,904.40",n.d.,"4,200",n.d.,ndndndndndndnd,49
143,Bayer de México,Química farmacéutica,Alemania,"36,215.00","1,740.00","2,171.00","80,185.00","26,681.00","4,063",n.d.,4250512038.5,-12
144,Unilever de México,Productos de consumo,Países Bajos/Reino Unido,"35,500.00",n.d.,n.d.,n.d.,n.d.,"7,500",n.d.,106601066043,-4
145,MSC,Logística y transporte,Suiza,"35,200.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,4
146,Grupo Gigante,Holding,México,"35,180.00","1,715.00",n.d.,"54,846.00","27,543.00","26,425",6.3,40013215.452,-3
147,Banregio,Servicios financieros,México,"35,161.00","6,357.00","8,462.00","248,465.00","218,179.00","6,973",21.0,9516171516.74,60
148,Sempra,Infraestructura,Estados Unidos,"34,497.00",n.d.,n.d.,"479,279.00",n.d.,"2,090",n.d.,7114nanana32,-55
149,Fovissste,Servicios financieros,México,"34,103.30","6,936.70",n.d.,"287,650.10","280,716.50",,875100.0,ndndndnananand,-41
150,Sears México,Comercio departamental,México,"33,962.50",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-9
151,Grupo Lamosa,Materiales y herramientas,México,"33,945.40",131.30,"4,522.30","47,145.30","28,989.70","10,829",0.7,2433314120018,-1
152,Grupo Simec,Siderurgia y metalurgia,México,"33,657.70","10,480.50","5,301.10","73,298.40","14,056.40","4,443",17.7,ndnd0500nd,-28
153,GAP (Grupo Aeroportuario del Pacífico),Servicios aeroportuarios,México,"33,614.40","8,875.40","15,050.60","81,653.10","57,031.30","3,454",36.0,ndnd4315536nd,-7
154,Grupo Industrial Maseca,Alimentos y bebidas,México,"33,159.00",n.d.,"2,804.50",n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-12
155,Megacable,Holding,México,"32,841.00","2,578.00","6,172.00","73,528.00","37,767.00","32,962",7.2,14171218.33,30
156,LyondellBasell de México,Química y petroquímica,Estados Unidos/Reino Unido,"32,205.80",n.d.,n.d.,"4,710.80",n.d.,n.d.,n.d.,ndndndndndndnd,1
157,Hyundai Motor de México,Armadora,Corea,"32,100.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-3
158,Alpura,Alimentos y bebidas,México,"32,000.00",n.d.,n.d.,n.d.,n.d.,"11,014",n.d.,902226002,90
159,Casa de Bolsa Banorte,Servicios financieros,México,"31,998.00",480.00,556.00,"259,697.00","255,664.00",,41211.9,ndndndndndndnd,-3
160,MAPFRE México,Seguros y fianzas,España,"31,917.00",321.00,482.00,"65,056.00","61,116.00","1,414",8.1,71141022050.,45
161,Monex,Servicios financieros,México,"31,704.00","4,370.00","6,132.00","279,571.00","259,184.00","3,343",21.4,811384505,3
162,ASUR (Grupo Aeroportuario de Sureste),Servicios aeroportuarios,México,"31,332.80","14,030.40","17,519.80","83,636.80","22,024.10","1,936",22.8,ndnd012427.3nd,10
163,Seguros Inbursa,Seguros y fianzas,México,"30,846.00","5,188.00",582.00,"94,947.00","65,709.00",n.d.,17.7,ndndndndndndnd,3
164,Vista Energy,Petróleo y gas,México,"30,203.60","8,753.00","11,463.40","77,579.40","47,862.50",,54229.5,ndnd32611724,37
165,BorgWarner México,Automotriz y autopartes,Estados Unidos,"30,134.50",n.d.,n.d.,"7,733.20",n.d.,n.d.,n.d.,ndndndndndndnd,-14
166,Cooperativa La Cruz Azul,Cemento,México,"29,754.00",n.d.,n.d.,n.d.,n.d.,"2,000",n.d.,ndndndndndndnd,-7
167,PPG Comex,Química y petroquímica,Estados Unidos,"29,700.00",n.d.,n.d.,n.d.,n.d.,"7,500",n.d.,ndndndndndndnd,2
168,Grupo Danone México,Alimentos y bebidas,Francia,"29,630.00",470.00,"1,580.00","28,390.00","28,390.00","14,992",3.1,12181232516,-8
169,Traxión,Logística y transporte,México,"29,142.00",659.70,659.70,"34,598.00","20,412.00","21,514",4.7,3001532017.3,12
170,Grupo Autofin México,Holding,México,"29,013.00",977.00,"3,755.00","120,628.00","21,888.00","7,549",1.0,123253133.340,-2
171,Mars México,Alimentos y bebidas,Estados Unidos,"29,000.00",n.d.,n.d.,n.d.,n.d.,"5,600",n.d.,351131nanana36.,98
172,Fibra Uno,Servicios inmobiliarios,México,"28,325.00","10,007.00","21,296.00","354,844.00","167,065.00",,9745.3,8001218.332,-1
